name;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
Get On Up;0.717;0.561;11;-7.898;1;0.245;0.567;0.0;0.439;0.673;93.116;audio_features;1SyR0qHmGNRZQ49Z0rFU4A;spotify:track:1SyR0qHmGNRZQ49Z0rFU4A;https://api.spotify.com/v1/tracks/1SyR0qHmGNRZQ49Z0rFU4A;https://api.spotify.com/v1/audio-analysis/1SyR0qHmGNRZQ49Z0rFU4A;225933;4
Why Don't U Love;0.645;0.823;7;-4.595;1;0.0307;0.00057;0.00504;0.452;0.482;123.004;audio_features;5T2mlWnOVRc7eU16OVpCrI;spotify:track:5T2mlWnOVRc7eU16OVpCrI;https://api.spotify.com/v1/tracks/5T2mlWnOVRc7eU16OVpCrI;https://api.spotify.com/v1/audio-analysis/5T2mlWnOVRc7eU16OVpCrI;206827;4
Ou Some Ou Soma (Ao Vivo) - Ao Vivo;0.661;0.918;10;-2.359;1;0.0686;0.0291;0.0;0.777;0.736;100.048;audio_features;0k76dyAkUjo22y8t2d8dbm;spotify:track:0k76dyAkUjo22y8t2d8dbm;https://api.spotify.com/v1/tracks/0k76dyAkUjo22y8t2d8dbm;https://api.spotify.com/v1/audio-analysis/0k76dyAkUjo22y8t2d8dbm;195955;4
Just Like That;0.405;0.768;0;-5.387;1;0.0898;0.0422;0.0;0.13;0.338;159.988;audio_features;1vN2yV1aOQ6uJvEpJ5GYc0;spotify:track:1vN2yV1aOQ6uJvEpJ5GYc0;https://api.spotify.com/v1/tracks/1vN2yV1aOQ6uJvEpJ5GYc0;https://api.spotify.com/v1/audio-analysis/1vN2yV1aOQ6uJvEpJ5GYc0;203569;4
Know Your Worth;0.79;0.694;9;-7.726;0;0.0708;0.145;0.00252;0.281;0.508;103.007;audio_features;0TrPqhAMoaKUFLR7iYDokf;spotify:track:0TrPqhAMoaKUFLR7iYDokf;https://api.spotify.com/v1/tracks/0TrPqhAMoaKUFLR7iYDokf;https://api.spotify.com/v1/audio-analysis/0TrPqhAMoaKUFLR7iYDokf;181436;4
The Sound;0.525;0.216;6;-13.551;1;0.0301;0.837;0.0;0.107;0.328;106.761;audio_features;5y788ya4NvwhBznoDIcXwK;spotify:track:5y788ya4NvwhBznoDIcXwK;https://api.spotify.com/v1/tracks/5y788ya4NvwhBznoDIcXwK;https://api.spotify.com/v1/audio-analysis/5y788ya4NvwhBznoDIcXwK;185413;4
Bang My Head (feat. Sia & Fetty Wap);0.599;0.869;0;-3.697;1;0.0789;0.0525;0.00719;0.103;0.593;108.061;audio_features;53Y0kdCa1CZ9gRqEuknfwy;spotify:track:53Y0kdCa1CZ9gRqEuknfwy;https://api.spotify.com/v1/tracks/53Y0kdCa1CZ9gRqEuknfwy;https://api.spotify.com/v1/audio-analysis/53Y0kdCa1CZ9gRqEuknfwy;193333;4
"Faith - From ""Sing"" Original Motion Picture Soundtrack";0.732;0.871;1;-3.626;1;0.172;0.145;0.0;0.0567;0.931;158.052;audio_features;3KuZx7FPNcqXG8YFN5Y0OG;spotify:track:3KuZx7FPNcqXG8YFN5Y0OG;https://api.spotify.com/v1/tracks/3KuZx7FPNcqXG8YFN5Y0OG;https://api.spotify.com/v1/audio-analysis/3KuZx7FPNcqXG8YFN5Y0OG;160880;4
How Ya Doin'? (feat. Missy Elliott);0.359;0.95;10;-3.49;0;0.476;0.09;0.0;0.371;0.51;200.617;audio_features;0kLLVmFd3mhjhByELXLw8k;spotify:track:0kLLVmFd3mhjhByELXLw8k;https://api.spotify.com/v1/tracks/0kLLVmFd3mhjhByELXLw8k;https://api.spotify.com/v1/audio-analysis/0kLLVmFd3mhjhByELXLw8k;211173;4
Get Silly;0.846;0.814;1;-4.945;1;0.353;0.0769;0.0;0.0588;0.671;75.01;audio_features;7IxHyB6UoZW8EARDonolT2;spotify:track:7IxHyB6UoZW8EARDonolT2;https://api.spotify.com/v1/tracks/7IxHyB6UoZW8EARDonolT2;https://api.spotify.com/v1/audio-analysis/7IxHyB6UoZW8EARDonolT2;227120;4
