name;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
Blue Notes;0.515;0.431;4;-8.251;1;0.257;0.665;0.0;0.147;0.184;141.392;audio_features;7Gs3otHnZDq514kFHf0nx7;spotify:track:7Gs3otHnZDq514kFHf0nx7;https://api.spotify.com/v1/tracks/7Gs3otHnZDq514kFHf0nx7;https://api.spotify.com/v1/audio-analysis/7Gs3otHnZDq514kFHf0nx7;227809;4
4 da manhã;0.794;0.474;2;-6.993;0;0.0387;0.66;0.0;0.112;0.857;111.971;audio_features;5xVJU6DJHnmHnbbKS56yCC;spotify:track:5xVJU6DJHnmHnbbKS56yCC;https://api.spotify.com/v1/tracks/5xVJU6DJHnmHnbbKS56yCC;https://api.spotify.com/v1/audio-analysis/5xVJU6DJHnmHnbbKS56yCC;216429;4
The Way I Am;0.785;0.871;4;-2.692;0;0.265;0.144;0.0;0.309;0.315;87.248;audio_features;23wfXwnsPZYe5A1xXRHb3J;spotify:track:23wfXwnsPZYe5A1xXRHb3J;https://api.spotify.com/v1/tracks/23wfXwnsPZYe5A1xXRHb3J;https://api.spotify.com/v1/audio-analysis/23wfXwnsPZYe5A1xXRHb3J;290427;4
He Like That;0.592;0.681;0;-5.597;1;0.141;0.362;0.0;0.142;0.491;147.016;audio_features;1zjcIIrm2fbVFmG3dsj03e;spotify:track:1zjcIIrm2fbVFmG3dsj03e;https://api.spotify.com/v1/tracks/1zjcIIrm2fbVFmG3dsj03e;https://api.spotify.com/v1/audio-analysis/1zjcIIrm2fbVFmG3dsj03e;217107;4
Black & Blue;0.584;0.375;2;-10.931;0;0.0572;0.455;0.0;0.106;0.672;171.846;audio_features;4t97cp4wYni0x2jZeScT1E;spotify:track:4t97cp4wYni0x2jZeScT1E;https://api.spotify.com/v1/tracks/4t97cp4wYni0x2jZeScT1E;https://api.spotify.com/v1/audio-analysis/4t97cp4wYni0x2jZeScT1E;162915;4
Sunday;0.878;0.525;5;-6.832;1;0.0578;0.183;0.0;0.0714;0.694;112.022;audio_features;1Cv1YLb4q0RzL6pybtaMLo;spotify:track:1Cv1YLb4q0RzL6pybtaMLo;https://api.spotify.com/v1/tracks/1Cv1YLb4q0RzL6pybtaMLo;https://api.spotify.com/v1/audio-analysis/1Cv1YLb4q0RzL6pybtaMLo;158571;4
What You Mean to Me;0.505;0.474;8;-7.723;1;0.0268;0.16;0.0;0.0952;0.234;83.086;audio_features;6hXYNf8WmAI8SOhEzohUrn;spotify:track:6hXYNf8WmAI8SOhEzohUrn;https://api.spotify.com/v1/tracks/6hXYNf8WmAI8SOhEzohUrn;https://api.spotify.com/v1/audio-analysis/6hXYNf8WmAI8SOhEzohUrn;257267;4
Over My Head;0.592;0.729;8;-4.156;1;0.0448;0.022;0.0;0.0653;0.709;116.03;audio_features;1N62wozuHCvczCkY4QidpP;spotify:track:1N62wozuHCvczCkY4QidpP;https://api.spotify.com/v1/tracks/1N62wozuHCvczCkY4QidpP;https://api.spotify.com/v1/audio-analysis/1N62wozuHCvczCkY4QidpP;236267;4
Deja Tus Besos;0.759;0.648;11;-3.955;0;0.0854;0.327;0.0;0.0884;0.948;167.825;audio_features;4MEhpZib6vCBCUhQfgF5fR;spotify:track:4MEhpZib6vCBCUhQfgF5fR;https://api.spotify.com/v1/tracks/4MEhpZib6vCBCUhQfgF5fR;https://api.spotify.com/v1/audio-analysis/4MEhpZib6vCBCUhQfgF5fR;188080;4
"Kiss the Girl - From ""The Little Mermaid""/ Soundtrack Version";0.667;0.239;0;-15.923;1;0.0481;0.686;0.0;0.104;0.721;134.857;audio_features;4HGIPyqDxSf863tPOwXiLJ;spotify:track:4HGIPyqDxSf863tPOwXiLJ;https://api.spotify.com/v1/tracks/4HGIPyqDxSf863tPOwXiLJ;https://api.spotify.com/v1/audio-analysis/4HGIPyqDxSf863tPOwXiLJ;163400;4
The Wave;0.512;0.56;0;-8.671;1;0.0344;0.24;0.00411;0.134;0.349;159.99;audio_features;2IbQBVzWkT4CF9aEUWek2o;spotify:track:2IbQBVzWkT4CF9aEUWek2o;https://api.spotify.com/v1/tracks/2IbQBVzWkT4CF9aEUWek2o;https://api.spotify.com/v1/audio-analysis/2IbQBVzWkT4CF9aEUWek2o;258419;4
Wit It This Christmas;0.648;0.319;5;-8.314;1;0.0352;0.124;0.0;0.376;0.398;128.041;audio_features;2ZFX853E9oi99D6WaPYUg8;spotify:track:2ZFX853E9oi99D6WaPYUg8;https://api.spotify.com/v1/tracks/2ZFX853E9oi99D6WaPYUg8;https://api.spotify.com/v1/audio-analysis/2ZFX853E9oi99D6WaPYUg8;161280;4
"My Family - from ""The Addams Family""";0.782;0.775;5;-4.49;0;0.0975;0.309;0.0;0.322;0.882;135.968;audio_features;62rchuhJrm5JSlIfHz7cH3;spotify:track:62rchuhJrm5JSlIfHz7cH3;https://api.spotify.com/v1/tracks/62rchuhJrm5JSlIfHz7cH3;https://api.spotify.com/v1/audio-analysis/62rchuhJrm5JSlIfHz7cH3;177353;4
Right Back;0.788;0.427;5;-9.918;0;0.308;0.0649;3.62e-05;0.171;0.605;97.038;audio_features;5A1w94uzc1kO1Zhe8WWxC3;spotify:track:5A1w94uzc1kO1Zhe8WWxC3;https://api.spotify.com/v1/tracks/5A1w94uzc1kO1Zhe8WWxC3;https://api.spotify.com/v1/audio-analysis/5A1w94uzc1kO1Zhe8WWxC3;215227;4
Ex's & Oh's;0.612;0.921;7;-2.879;1;0.0848;0.0183;0.0;0.0576;0.453;139.986;audio_features;70eDxAyAraNTiD6lx2ZEnH;spotify:track:70eDxAyAraNTiD6lx2ZEnH;https://api.spotify.com/v1/tracks/70eDxAyAraNTiD6lx2ZEnH;https://api.spotify.com/v1/audio-analysis/70eDxAyAraNTiD6lx2ZEnH;202173;4
Contatinho - Ao Vivo;0.787;0.934;10;-5.136;0;0.0773;0.223;1.87e-05;0.951;0.813;152.018;audio_features;4RC2nzqaQygxoVQOVv3XlT;spotify:track:4RC2nzqaQygxoVQOVv3XlT;https://api.spotify.com/v1/tracks/4RC2nzqaQygxoVQOVv3XlT;https://api.spotify.com/v1/audio-analysis/4RC2nzqaQygxoVQOVv3XlT;173230;4
Échame La Culpa;0.733;0.897;0;-3.652;1;0.0389;0.0391;0.0;0.117;0.649;96.006;audio_features;0mlAOSILGRys2IbvyOT5VJ;spotify:track:0mlAOSILGRys2IbvyOT5VJ;https://api.spotify.com/v1/tracks/0mlAOSILGRys2IbvyOT5VJ;https://api.spotify.com/v1/audio-analysis/0mlAOSILGRys2IbvyOT5VJ;173800;4
Me Negaram Amor;0.517;0.46;8;-11.733;0;0.328;0.689;0.0;0.0717;0.534;95.012;audio_features;4oH03lpFiysmcWex1AyddD;spotify:track:4oH03lpFiysmcWex1AyddD;https://api.spotify.com/v1/tracks/4oH03lpFiysmcWex1AyddD;https://api.spotify.com/v1/audio-analysis/4oH03lpFiysmcWex1AyddD;288000;4
Show Me;0.433;0.854;9;-3.868;1;0.0483;0.000336;0.000177;0.162;0.368;89.4;audio_features;1Qdnvn4XlmZANCVy3XjrQo;spotify:track:1Qdnvn4XlmZANCVy3XjrQo;https://api.spotify.com/v1/tracks/1Qdnvn4XlmZANCVy3XjrQo;https://api.spotify.com/v1/audio-analysis/1Qdnvn4XlmZANCVy3XjrQo;277840;4
Baby Shark;0.829;0.886;8;-1.746;1;0.112;0.259;0.0;0.0559;0.777;115.056;audio_features;5ygDXis42ncn6kYG14lEVG;spotify:track:5ygDXis42ncn6kYG14lEVG;https://api.spotify.com/v1/tracks/5ygDXis42ncn6kYG14lEVG;https://api.spotify.com/v1/audio-analysis/5ygDXis42ncn6kYG14lEVG;80927;4
Take A Bow;0.697;0.467;9;-7.536;1;0.0715;0.248;0.0;0.0941;0.572;82.082;audio_features;3goSVuTt3fDYDP6kRnFwuL;spotify:track:3goSVuTt3fDYDP6kRnFwuL;https://api.spotify.com/v1/tracks/3goSVuTt3fDYDP6kRnFwuL;https://api.spotify.com/v1/audio-analysis/3goSVuTt3fDYDP6kRnFwuL;229413;4
Bang A Drum;0.444;0.637;1;-9.301;1;0.0349;0.0455;0.0;0.397;0.682;178.438;audio_features;7IUCx59vNbhVgKfcLrOH1w;spotify:track:7IUCx59vNbhVgKfcLrOH1w;https://api.spotify.com/v1/tracks/7IUCx59vNbhVgKfcLrOH1w;https://api.spotify.com/v1/audio-analysis/7IUCx59vNbhVgKfcLrOH1w;284000;4
Goals;0.688;0.747;4;-3.04;0;0.0709;0.187;0.000161;0.144;0.62;154.047;audio_features;5Oz3TWYhneHj2fo5ttwPu1;spotify:track:5Oz3TWYhneHj2fo5ttwPu1;https://api.spotify.com/v1/tracks/5Oz3TWYhneHj2fo5ttwPu1;https://api.spotify.com/v1/audio-analysis/5Oz3TWYhneHj2fo5ttwPu1;212603;4
Ex-Amor;0.742;0.616;11;-10.768;0;0.0535;0.319;8.49e-06;0.123;0.886;98.05;audio_features;5eN58yh1jG1af8DWgZELk0;spotify:track:5eN58yh1jG1af8DWgZELk0;https://api.spotify.com/v1/tracks/5eN58yh1jG1af8DWgZELk0;https://api.spotify.com/v1/audio-analysis/5eN58yh1jG1af8DWgZELk0;245773;4
Caroline;0.941;0.335;5;-10.179;0;0.505;0.17;0.0;0.262;0.707;120.041;audio_features;5hTpBe8h35rJ67eAWHQsJx;spotify:track:5hTpBe8h35rJ67eAWHQsJx;https://api.spotify.com/v1/tracks/5hTpBe8h35rJ67eAWHQsJx;https://api.spotify.com/v1/audio-analysis/5hTpBe8h35rJ67eAWHQsJx;209640;4
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version;0.694;0.957;9;-3.115;0;0.171;0.0243;3.4e-06;0.108;0.505;106.002;audio_features;6DRGwsUFQrNerxRexK7KMB;spotify:track:6DRGwsUFQrNerxRexK7KMB;https://api.spotify.com/v1/tracks/6DRGwsUFQrNerxRexK7KMB;https://api.spotify.com/v1/audio-analysis/6DRGwsUFQrNerxRexK7KMB;194880;4
Pro Meu Mundo Girar - Ao Vivo;0.61;0.765;2;-5.982;1;0.0353;0.724;0.0;0.802;0.836;97.99;audio_features;02JdnJSwKTE48swaFqschE;spotify:track:02JdnJSwKTE48swaFqschE;https://api.spotify.com/v1/tracks/02JdnJSwKTE48swaFqschE;https://api.spotify.com/v1/audio-analysis/02JdnJSwKTE48swaFqschE;169733;4
My Humps;0.802;0.682;1;-5.924;0;0.222;0.111;1.39e-05;0.109;0.586;123.95;audio_features;20jYtEun4dUdYZ9foaOC48;spotify:track:20jYtEun4dUdYZ9foaOC48;https://api.spotify.com/v1/tracks/20jYtEun4dUdYZ9foaOC48;https://api.spotify.com/v1/audio-analysis/20jYtEun4dUdYZ9foaOC48;326960;4
Hotter Than Hell;0.532;0.868;3;-4.23;0;0.0908;0.011;0.0;0.0584;0.529;110.127;audio_features;5eTNdkstwKaNahHf41fJ9u;spotify:track:5eTNdkstwKaNahHf41fJ9u;https://api.spotify.com/v1/tracks/5eTNdkstwKaNahHf41fJ9u;https://api.spotify.com/v1/audio-analysis/5eTNdkstwKaNahHf41fJ9u;187958;4
Trust Fund Baby;0.624;0.785;8;-3.337;1;0.0498;0.0629;0.0;0.135;0.593;163.929;audio_features;54j7EaJPDmSZYcNYvLSJ78;spotify:track:54j7EaJPDmSZYcNYvLSJ78;https://api.spotify.com/v1/tracks/54j7EaJPDmSZYcNYvLSJ78;https://api.spotify.com/v1/audio-analysis/54j7EaJPDmSZYcNYvLSJ78;184460;4
Sad Song (feat. TINI);0.734;0.693;0;-6.474;1;0.0361;0.0878;0.0;0.341;0.55;110.021;audio_features;2JoIjuzRplpYGvvLpSW2on;spotify:track:2JoIjuzRplpYGvvLpSW2on;https://api.spotify.com/v1/tracks/2JoIjuzRplpYGvvLpSW2on;https://api.spotify.com/v1/audio-analysis/2JoIjuzRplpYGvvLpSW2on;154024;4
Unbreakable Smile;0.741;0.711;6;-7.819;1;0.127;0.204;4.02e-05;0.052;0.725;92.489;audio_features;67rHyiT4RB0eTMC41ab5sC;spotify:track:67rHyiT4RB0eTMC41ab5sC;https://api.spotify.com/v1/tracks/67rHyiT4RB0eTMC41ab5sC;https://api.spotify.com/v1/audio-analysis/67rHyiT4RB0eTMC41ab5sC;228534;4
Pretty Girl;0.93;0.611;0;-4.406;1;0.0415;0.593;0.00124;0.0592;0.695;112.127;audio_features;0KyAGiNGUytG5JLxJu4F6l;spotify:track:0KyAGiNGUytG5JLxJu4F6l;https://api.spotify.com/v1/tracks/0KyAGiNGUytG5JLxJu4F6l;https://api.spotify.com/v1/audio-analysis/0KyAGiNGUytG5JLxJu4F6l;178352;4
Hands;0.811;0.499;5;-7.161;0;0.118;0.0147;2.44e-06;0.342;0.466;111.016;audio_features;3CJvmtWw2bJsudbAC5uCQk;spotify:track:3CJvmtWw2bJsudbAC5uCQk;https://api.spotify.com/v1/tracks/3CJvmtWw2bJsudbAC5uCQk;https://api.spotify.com/v1/audio-analysis/3CJvmtWw2bJsudbAC5uCQk;200680;4
Aquecimento do Pedro Sampaio;0.828;0.702;6;-7.996;0;0.271;0.0265;2.48e-05;0.0762;0.846;150.077;audio_features;7wAQTVTggrFQ4bceY6e3GE;spotify:track:7wAQTVTggrFQ4bceY6e3GE;https://api.spotify.com/v1/tracks/7wAQTVTggrFQ4bceY6e3GE;https://api.spotify.com/v1/audio-analysis/7wAQTVTggrFQ4bceY6e3GE;129600;4
Bluffin';0.529;0.314;0;-10.323;1;0.0461;0.354;0.000436;0.102;0.288;129.666;audio_features;42w7pX3r1TpLR0i55Ek5ND;spotify:track:42w7pX3r1TpLR0i55Ek5ND;https://api.spotify.com/v1/tracks/42w7pX3r1TpLR0i55Ek5ND;https://api.spotify.com/v1/audio-analysis/42w7pX3r1TpLR0i55Ek5ND;199240;3
Díganle - Tainy Remix;0.84;0.789;1;-4.695;0;0.0949;0.102;0.0;0.309;0.619;92.018;audio_features;1l89iNLbzfFN9TsWJORolB;spotify:track:1l89iNLbzfFN9TsWJORolB;https://api.spotify.com/v1/tracks/1l89iNLbzfFN9TsWJORolB;https://api.spotify.com/v1/audio-analysis/1l89iNLbzfFN9TsWJORolB;211438;4
Don't Shoot That Gun;0.747;0.652;9;-6.253;1;0.0329;0.382;0.0;0.0824;0.411;102.985;audio_features;5tKvM4a1ditoAvlk3XGlry;spotify:track:5tKvM4a1ditoAvlk3XGlry;https://api.spotify.com/v1/tracks/5tKvM4a1ditoAvlk3XGlry;https://api.spotify.com/v1/audio-analysis/5tKvM4a1ditoAvlk3XGlry;156147;4
P.I.M.P. - Snoop Dogg Remix;0.677;0.698;3;-5.793;0;0.352;0.0935;0.0;0.0511;0.83;78.443;audio_features;0fLILzjVXRCLC0lsNKcQ8I;spotify:track:0fLILzjVXRCLC0lsNKcQ8I;https://api.spotify.com/v1/tracks/0fLILzjVXRCLC0lsNKcQ8I;https://api.spotify.com/v1/audio-analysis/0fLILzjVXRCLC0lsNKcQ8I;288573;4
Better Man;0.445;0.671;2;-7.937;1;0.0387;0.165;1.56e-05;0.0791;0.267;125.712;audio_features;2B98ljvzqpCVgt5reTHq28;spotify:track:2B98ljvzqpCVgt5reTHq28;https://api.spotify.com/v1/tracks/2B98ljvzqpCVgt5reTHq28;https://api.spotify.com/v1/audio-analysis/2B98ljvzqpCVgt5reTHq28;268587;4
100 Placas;0.717;0.46;8;-8.66;0;0.4;0.133;0.0;0.268;0.36;123.891;audio_features;0H9zRoFnz8NFfnEEt9X7Gt;spotify:track:0H9zRoFnz8NFfnEEt9X7Gt;https://api.spotify.com/v1/tracks/0H9zRoFnz8NFfnEEt9X7Gt;https://api.spotify.com/v1/audio-analysis/0H9zRoFnz8NFfnEEt9X7Gt;188023;4
Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors);0.502;0.786;9;-4.378;0;0.317;0.255;0.0;0.65;0.739;169.021;audio_features;4dASQiO1Eoo3RJvt74FtXB;spotify:track:4dASQiO1Eoo3RJvt74FtXB;https://api.spotify.com/v1/tracks/4dASQiO1Eoo3RJvt74FtXB;https://api.spotify.com/v1/audio-analysis/4dASQiO1Eoo3RJvt74FtXB;243491;4
I Gotta Feeling;0.743;0.766;0;-6.375;1;0.0265;0.0873;0.0;0.509;0.61;127.96;audio_features;4kLLWz7srcuLKA7Et40PQR;spotify:track:4kLLWz7srcuLKA7Et40PQR;https://api.spotify.com/v1/tracks/4kLLWz7srcuLKA7Et40PQR;https://api.spotify.com/v1/audio-analysis/4kLLWz7srcuLKA7Et40PQR;289133;4
Can't Take My Eyes Off of You - (I Love You Baby);0.747;0.662;1;-7.9;0;0.0796;0.0118;0.0;0.138;0.63;88.926;audio_features;2GFExyKXf9383tSRSrEHEt;spotify:track:2GFExyKXf9383tSRSrEHEt;https://api.spotify.com/v1/tracks/2GFExyKXf9383tSRSrEHEt;https://api.spotify.com/v1/audio-analysis/2GFExyKXf9383tSRSrEHEt;221467;4
DDU-DU DDU-DU;0.671;0.859;4;-3.922;0;0.0833;0.0323;0.0;0.267;0.389;139.931;audio_features;2aI2k39nfa3KFsa4JclQzw;spotify:track:2aI2k39nfa3KFsa4JclQzw;https://api.spotify.com/v1/tracks/2aI2k39nfa3KFsa4JclQzw;https://api.spotify.com/v1/audio-analysis/2aI2k39nfa3KFsa4JclQzw;209355;4
Strickly Roots Flava - Original Mix;0.887;0.643;1;-15.196;0;0.224;0.0234;1.61e-05;0.0505;0.584;89.808;audio_features;027paVTZXNyAZSrT6T6gTq;spotify:track:027paVTZXNyAZSrT6T6gTq;https://api.spotify.com/v1/tracks/027paVTZXNyAZSrT6T6gTq;https://api.spotify.com/v1/audio-analysis/027paVTZXNyAZSrT6T6gTq;255240;4
Cool (feat. Marc E. Bassy, Gucci Mane);0.621;0.745;2;-5.5;1;0.14;0.0578;0.0;0.089;0.339;94.832;audio_features;3Ij7tqW9jVJ41dG06MZkFU;spotify:track:3Ij7tqW9jVJ41dG06MZkFU;https://api.spotify.com/v1/tracks/3Ij7tqW9jVJ41dG06MZkFU;https://api.spotify.com/v1/audio-analysis/3Ij7tqW9jVJ41dG06MZkFU;190617;4
Fala Duvida - Ao Vivo;0.663;0.785;7;-7.097;1;0.0395;0.75;0.0;0.899;0.961;87.97;audio_features;6RjeBoaTPrMofrYIbfomVb;spotify:track:6RjeBoaTPrMofrYIbfomVb;https://api.spotify.com/v1/tracks/6RjeBoaTPrMofrYIbfomVb;https://api.spotify.com/v1/audio-analysis/6RjeBoaTPrMofrYIbfomVb;192793;4
Liberdade;0.668;0.684;1;-5.937;1;0.0527;0.627;0.0;0.923;0.7;108.138;audio_features;1vG3YuKRYqPwTmNmYgqkpg;spotify:track:1vG3YuKRYqPwTmNmYgqkpg;https://api.spotify.com/v1/tracks/1vG3YuKRYqPwTmNmYgqkpg;https://api.spotify.com/v1/audio-analysis/1vG3YuKRYqPwTmNmYgqkpg;187986;4
Deep;0.708;0.82;8;-6.591;0;0.0732;0.0654;0.625;0.211;0.197;121.013;audio_features;1ZHT4WSOuZPAl82T4nKWEN;spotify:track:1ZHT4WSOuZPAl82T4nKWEN;https://api.spotify.com/v1/tracks/1ZHT4WSOuZPAl82T4nKWEN;https://api.spotify.com/v1/audio-analysis/1ZHT4WSOuZPAl82T4nKWEN;230083;4
For Free;0.916;0.571;10;-8.241;0;0.201;0.0173;1.11e-06;0.153;0.498;103.521;audio_features;20bLudc6r1NChyZcrjRd7T;spotify:track:20bLudc6r1NChyZcrjRd7T;https://api.spotify.com/v1/tracks/20bLudc6r1NChyZcrjRd7T;https://api.spotify.com/v1/audio-analysis/20bLudc6r1NChyZcrjRd7T;183695;4
Bad Time;0.667;0.536;0;-6.54;1;0.0623;0.243;0.0;0.566;0.693;82.964;audio_features;1YqPDOmooQQIXsRSdbRrwI;spotify:track:1YqPDOmooQQIXsRSdbRrwI;https://api.spotify.com/v1/tracks/1YqPDOmooQQIXsRSdbRrwI;https://api.spotify.com/v1/audio-analysis/1YqPDOmooQQIXsRSdbRrwI;184533;4
Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo;0.673;0.841;4;-4.968;1;0.0591;0.599;0.0;0.723;0.663;162.961;audio_features;2PADJK4rhdklqFLQFa5oMX;spotify:track:2PADJK4rhdklqFLQFa5oMX;https://api.spotify.com/v1/tracks/2PADJK4rhdklqFLQFa5oMX;https://api.spotify.com/v1/audio-analysis/2PADJK4rhdklqFLQFa5oMX;210387;4
Triplet - Instrumental Mix;0.345;0.702;3;-4.883;1;0.0347;0.00451;3.23e-05;0.373;0.139;132.162;audio_features;5jE8bwpklpLIGsnPDXpRoL;spotify:track:5jE8bwpklpLIGsnPDXpRoL;https://api.spotify.com/v1/tracks/5jE8bwpklpLIGsnPDXpRoL;https://api.spotify.com/v1/audio-analysis/5jE8bwpklpLIGsnPDXpRoL;182727;4
Future Starts Slow;0.677;0.743;6;-5.876;1;0.0611;0.0135;0.00222;0.0581;0.469;127.971;audio_features;0A0RBBTrgfq9eClnw6ZXT7;spotify:track:0A0RBBTrgfq9eClnw6ZXT7;https://api.spotify.com/v1/tracks/0A0RBBTrgfq9eClnw6ZXT7;https://api.spotify.com/v1/audio-analysis/0A0RBBTrgfq9eClnw6ZXT7;248200;4
Ela É do Tipo (feat. Drake) - Remix;0.576;0.524;6;-5.428;1;0.24;0.89;0.0;0.108;0.715;99.387;audio_features;7qLnSuxwLNlcapat8OCWZp;spotify:track:7qLnSuxwLNlcapat8OCWZp;https://api.spotify.com/v1/tracks/7qLnSuxwLNlcapat8OCWZp;https://api.spotify.com/v1/audio-analysis/7qLnSuxwLNlcapat8OCWZp;212433;3
Até o céu;0.628;0.874;1;-1.818;0;0.0613;0.391;0.0;0.337;0.691;81.967;audio_features;0NRP5OIrTcgGvttJlSLO0n;spotify:track:0NRP5OIrTcgGvttJlSLO0n;https://api.spotify.com/v1/tracks/0NRP5OIrTcgGvttJlSLO0n;https://api.spotify.com/v1/audio-analysis/0NRP5OIrTcgGvttJlSLO0n;166829;4
Queen;0.414;0.404;0;-9.928;0;0.0499;0.271;0.0;0.3;0.224;71.105;audio_features;4u7EnebtmKWzUH433cf5Qv;spotify:track:4u7EnebtmKWzUH433cf5Qv;https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv;https://api.spotify.com/v1/audio-analysis/4u7EnebtmKWzUH433cf5Qv;354320;4
Blinding Lights;0.514;0.73;1;-5.934;1;0.0598;0.00146;9.54e-05;0.0897;0.334;171.005;audio_features;0VjIjW4GlUZAMYd2vXMi3b;spotify:track:0VjIjW4GlUZAMYd2vXMi3b;https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b;https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b;200040;4
Sue Me - A Cappella;0.395;0.311;5;-9.792;1;0.0336;0.879;0.0;0.147;0.495;68.939;audio_features;1GlBABlFOcIIlSEYcnOP3b;spotify:track:1GlBABlFOcIIlSEYcnOP3b;https://api.spotify.com/v1/tracks/1GlBABlFOcIIlSEYcnOP3b;https://api.spotify.com/v1/audio-analysis/1GlBABlFOcIIlSEYcnOP3b;202539;4
Soap;0.595;0.689;6;-6.107;0;0.148;0.254;5.44e-06;0.129;0.213;168.112;audio_features;03f7xZmt2wHCIDJBFPK8G4;spotify:track:03f7xZmt2wHCIDJBFPK8G4;https://api.spotify.com/v1/tracks/03f7xZmt2wHCIDJBFPK8G4;https://api.spotify.com/v1/audio-analysis/03f7xZmt2wHCIDJBFPK8G4;209427;4
Don't Stop Me Now - ...Revisited;0.465;0.917;5;-6.331;1;0.237;0.0152;0.02;0.286;0.39;155.061;audio_features;3INsYP1Y8GG4qJvBsKCdXC;spotify:track:3INsYP1Y8GG4qJvBsKCdXC;https://api.spotify.com/v1/tracks/3INsYP1Y8GG4qJvBsKCdXC;https://api.spotify.com/v1/audio-analysis/3INsYP1Y8GG4qJvBsKCdXC;217824;4
I Can;0.723;0.863;2;-7.89;1;0.0338;0.0383;0.0317;0.128;0.931;136.302;audio_features;2PzU4IB8Dr6mxV3lHuaG34;spotify:track:2PzU4IB8Dr6mxV3lHuaG34;https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34;https://api.spotify.com/v1/audio-analysis/2PzU4IB8Dr6mxV3lHuaG34;222813;4
ME! (feat. Brendon Urie of Panic! At The Disco);0.61;0.83;0;-4.105;1;0.0571;0.033;0.0;0.118;0.728;182.162;audio_features;2Rk4JlNc2TPmZe2af99d45;spotify:track:2Rk4JlNc2TPmZe2af99d45;https://api.spotify.com/v1/tracks/2Rk4JlNc2TPmZe2af99d45;https://api.spotify.com/v1/audio-analysis/2Rk4JlNc2TPmZe2af99d45;193000;4
New Year's Day;0.518;0.803;8;-6.337;0;0.0318;0.00151;0.0246;0.612;0.633;133.462;audio_features;2CwMxEXxMiLRrKPLjQLmne;spotify:track:2CwMxEXxMiLRrKPLjQLmne;https://api.spotify.com/v1/tracks/2CwMxEXxMiLRrKPLjQLmne;https://api.spotify.com/v1/audio-analysis/2CwMxEXxMiLRrKPLjQLmne;257040;4
I'm Still Here;0.437;0.719;6;-4.569;0;0.0376;0.00697;3.86e-05;0.0765;0.284;169.976;audio_features;5KGTKwOePys7aH4o6EzXEP;spotify:track:5KGTKwOePys7aH4o6EzXEP;https://api.spotify.com/v1/tracks/5KGTKwOePys7aH4o6EzXEP;https://api.spotify.com/v1/audio-analysis/5KGTKwOePys7aH4o6EzXEP;241910;4
Electricity (feat. Dua Lipa) - MK Remix;0.675;0.894;9;-4.982;0;0.0821;0.000156;0.00856;0.112;0.844;123.995;audio_features;6JhJ3Qiw7sWE74MmSTbwkK;spotify:track:6JhJ3Qiw7sWE74MmSTbwkK;https://api.spotify.com/v1/tracks/6JhJ3Qiw7sWE74MmSTbwkK;https://api.spotify.com/v1/audio-analysis/6JhJ3Qiw7sWE74MmSTbwkK;346880;4
Vraa Vraa - Vai Tchuca;0.94;0.702;6;-7.677;1;0.459;0.399;1.79e-05;0.405;0.544;130.061;audio_features;2KFCzlHEGjm6lW9y03xnQx;spotify:track:2KFCzlHEGjm6lW9y03xnQx;https://api.spotify.com/v1/tracks/2KFCzlHEGjm6lW9y03xnQx;https://api.spotify.com/v1/audio-analysis/2KFCzlHEGjm6lW9y03xnQx;209328;4
Up All Night;0.665;0.712;1;-7.536;1;0.0527;0.00103;0.00342;0.102;0.669;93.989;audio_features;1mpD5Q8IM32I4bF6eCpU74;spotify:track:1mpD5Q8IM32I4bF6eCpU74;https://api.spotify.com/v1/tracks/1mpD5Q8IM32I4bF6eCpU74;https://api.spotify.com/v1/audio-analysis/1mpD5Q8IM32I4bF6eCpU74;157220;4
